datasetID,locality,year,scientificName,vernacularName
nvdimp,丹大野生動物重要棲息環境,2003,Zelkova serrata,櫸
nvdimp,丹大野生動物重要棲息環境,2003,Miscanthus sinensis,芒
nvdimp,丹大野生動物重要棲息環境,2003,Juniperus formosana,刺柏
nvdimp,丹大野生動物重要棲息環境,2003,Rubus rosifolius,刺莓
nvdimp,丹大野生動物重要棲息環境,2003,Lyonia ovalifolia,南燭
nvdimp,丹大野生動物重要棲息環境,2003,Hypolepis punctata,姬蕨
nvdimp,丹大野生動物重要棲息環境,2003,Capparis sikkimensis subsp. formosana,山柑
nvdimp,丹大野生動物重要棲息環境,2003,Murraya paniculata,月橘
nvdimp,丹大野生動物重要棲息環境,2003,Celtis sinensis,朴樹
nvdimp,丹大野生動物重要棲息環境,2003,Pollia japonica,杜若
nvdimp,丹大野生動物重要棲息環境,2003,Maclura cochinchinensis,柘樹
nvdimp,丹大野生動物重要棲息環境,2003,Peperomia japonica,椒草
nvdimp,丹大野生動物重要棲息環境,2003,Myrica rubra,楊梅
nvdimp,丹大野生動物重要棲息環境,2003,Liquidambar formosana,楓香
nvdimp,丹大野生動物重要棲息環境,2003,Broussonetia papyrifera,構樹
nvdimp,丹大野生動物重要棲息環境,2003,Drynaria fortunei,槲蕨
nvdimp,丹大野生動物重要棲息環境,2003,Debregeasia orientalis,水麻
nvdimp,丹大野生動物重要棲息環境,2003,Justicia procumbens,爵床
nvdimp,丹大野生動物重要棲息環境,2003,Lepisorus thunbergianus,瓦葦
nvdimp,丹大野生動物重要棲息環境,2003,Arisaema ringens,申跋
nvdimp,丹大野生動物重要棲息環境,2003,Myriactis humilis,矮菊
nvdimp,丹大野生動物重要棲息環境,2003,Dendrobium moniliforme,石斛
nvdimp,丹大野生動物重要棲息環境,2003,Stauntonia obovatifoliola,石月
nvdimp,丹大野生動物重要棲息環境,2003,Lycopodium clavatum,石松
nvdimp,丹大野生動物重要棲息環境,2003,Photinia serratifolia,石楠
nvdimp,丹大野生動物重要棲息環境,2003,Pyrrosia lingua,石葦
nvdimp,丹大野生動物重要棲息環境,2003,Machilus thunbergii,紅楠
nvdimp,丹大野生動物重要棲息環境,2003,Chamaecyparis formosensis,紅檜
nvdimp,丹大野生動物重要棲息環境,2003,Nephrolepis auriculata,腎蕨
nvdimp,丹大野生動物重要棲息環境,2003,Dicranopteris linearis,芒萁
nvdimp,丹大野生動物重要棲息環境,2003,Smilax china,菝葜
nvdimp,丹大野生動物重要棲息環境,2003,Urtica thunbergiana,蕁麻
nvdimp,丹大野生動物重要棲息環境,2003,Polygonum cuspidatum,虎杖
nvdimp,丹大野生動物重要棲息環境,2003,Macaranga tanarius,血桐
nvdimp,丹大野生動物重要棲息環境,2003,Mucuna macrocarpa,血藤
nvdimp,丹大野生動物重要棲息環境,2003,Diplopterygium glaucum,裏白
nvdimp,丹大野生動物重要棲息環境,2003,Quercus morii,赤柯
nvdimp,丹大野生動物重要棲息環境,2003,Ecdysanthera rosea,酸藤
nvdimp,丹大野生動物重要棲息環境,2003,Acer serrulatum,青楓
nvdimp,丹大野生動物重要棲息環境,2003,Piper kadsura,風藤
nvdimp,丹大野生動物重要棲息環境,2003,Vitex negundo,黃荊
nvdimp,丹大野生動物重要棲息環境,2003,Senecio nemorensis var. dentatus,黃菀
nvdimp,丹大野生動物重要棲息環境,2003,Solanum nigrum,龍葵
nvdimp,丹大野生動物重要棲息環境,2003,Clematis grata,串鼻龍
nvdimp,丹大野生動物重要棲息環境,2003,Damnacanthus indicus,伏牛花
nvdimp,丹大野生動物重要棲息環境,2003,Lemmaphyllum microphyllum,伏石蕨
nvdimp,丹大野生動物重要棲息環境,2003,Kalanchoe spathulata,倒吊蓮
nvdimp,丹大野生動物重要棲息環境,2003,Eurya crenatifolia,假柃木
nvdimp,丹大野生動物重要棲息環境,2003,Prinsepia scandens,假皂莢
nvdimp,丹大野生動物重要棲息環境,2003,Smilax bracteata,假菝葜
nvdimp,丹大野生動物重要棲息環境,2003,Trichodesma calycosum,假酸漿
nvdimp,丹大野生動物重要棲息環境,2003,Platycarya strobilacea,化香樹
nvdimp,丹大野生動物重要棲息環境,2003,Stephania japonica,千金藤
nvdimp,丹大野生動物重要棲息環境,2003,Ternstroemia gymnanthera,厚皮香
nvdimp,丹大野生動物重要棲息環境,2003,Microsorum fortunei,大星蕨
nvdimp,丹大野生動物重要棲息環境,2003,Asparagus cochinchinensis,天門冬
nvdimp,丹大野生動物重要棲息環境,2003,Lepisorus obscurevenulosus,奧瓦葦
nvdimp,丹大野生動物重要棲息環境,2003,Alocasia odora,姑婆芋
nvdimp,丹大野生動物重要棲息環境,2003,Peperomia reflexa,小椒草
nvdimp,丹大野生動物重要棲息環境,2003,Morus australis,小葉桑
nvdimp,丹大野生動物重要棲息環境,2003,Acer kawakamii,尖葉槭
nvdimp,丹大野生動物重要棲息環境,2003,Eriobotrya deflexa,山枇杷
nvdimp,丹大野生動物重要棲息環境,2003,Prunus campanulata,山櫻花
nvdimp,丹大野生動物重要棲息環境,2003,Symplocos glauca,山羊耳
nvdimp,丹大野生動物重要棲息環境,2003,Asplenium antiquum,山蘇花
nvdimp,丹大野生動物重要棲息環境,2003,Gardenia jasminoides,山黃梔
nvdimp,丹大野生動物重要棲息環境,2003,Trema orientalis,山黃麻
nvdimp,丹大野生動物重要棲息環境,2003,Pteridium aquilinum subsp. wightianum,巒大蕨
nvdimp,丹大野生動物重要棲息環境,2003,Lysimachia capillipes,排香草
nvdimp,丹大野生動物重要棲息環境,2003,Poa annua,早熟禾
nvdimp,丹大野生動物重要棲息環境,2003,Trochodendron aralioides,昆欄樹
nvdimp,丹大野生動物重要棲息環境,2003,Crassocephalum crepidioides,昭和草
nvdimp,丹大野生動物重要棲息環境,2003,Vittaria flexuosa,書帶蕨
nvdimp,丹大野生動物重要棲息環境,2003,Rhus succedanea,木蠟樹
nvdimp,丹大野生動物重要棲息環境,2003,Cocculus orbiculatus,木防己
nvdimp,丹大野生動物重要棲息環境,2003,Callicarpa formosana,杜虹花
nvdimp,丹大野生動物重要棲息環境,2003,Quercus variabilis,栓皮櫟
nvdimp,丹大野生動物重要棲息環境,2003,Dianella ensifolia,桔梗蘭
nvdimp,丹大野生動物重要棲息環境,2003,Rhamnus formosana,桶鉤藤
nvdimp,丹大野生動物重要棲息環境,2003,Xiphopteris okuboi,梳葉蕨
nvdimp,丹大野生動物重要棲息環境,2003,Elephantopus mollis,毛蓮菜
nvdimp,丹大野生動物重要棲息環境,2003,Vaccinium japonicum var. lasiostemon,毛蕊花
nvdimp,丹大野生動物重要棲息環境,2003,Quercus sessilifolia,毽子櫟
nvdimp,丹大野生動物重要棲息環境,2003,Cheilotheca humilis,水晶蘭
nvdimp,丹大野生動物重要棲息環境,2003,Pouzolzia elegans,水雞油
nvdimp,丹大野生動物重要棲息環境,2003,Ellisiophyllum pinnatum,海螺菊
nvdimp,丹大野生動物重要棲息環境,2003,Lygodium japonicum,海金沙
nvdimp,丹大野生動物重要棲息環境,2003,Michelia compressa,烏心石
nvdimp,丹大野生動物重要棲息環境,2003,Ficus erecta var. beecheyana,牛奶榕
nvdimp,丹大野生動物重要棲息環境,2003,Cucubalus baccifer,狗筋蔓
nvdimp,丹大野生動物重要棲息環境,2003,Cyclobalanopsis stenophylloides,狹葉櫟
nvdimp,丹大野生動物重要棲息環境,2003,Polygonum runcinatum,玉山蓼
nvdimp,丹大野生動物重要棲息環境,2003,Mallotus paniculatus,白匏子
nvdimp,丹大野生動物重要棲息環境,2003,Gaultheria cumingiana,白珠樹
nvdimp,丹大野生動物重要棲息環境,2003,Lysionotus pauciflorus,石吊蘭
nvdimp,丹大野生動物重要棲息環境,2003,Monachosorum henryi,稀子蕨
nvdimp,丹大野生動物重要棲息環境,2003,Amischotolype hispida,穿鞘花
nvdimp,丹大野生動物重要棲息環境,2003,Oplismenus compositus,竹葉草
nvdimp,丹大野生動物重要棲息環境,2003,Aphananthe aspera,糙葉樹
nvdimp,丹大野生動物重要棲息環境,2003,Breynia officinalis,紅仔珠
nvdimp,丹大野生動物重要棲息環境,2003,Carex baccans,紅果薹
nvdimp,丹大野生動物重要棲息環境,2003,Carex filicina,紅鞘薹
nvdimp,丹大野生動物重要棲息環境,2003,Zeuxine strateumatica,線柱蘭
nvdimp,丹大野生動物重要棲息環境,2003,Morinda umbellata,羊角藤
nvdimp,丹大野生動物重要棲息環境,2003,Hemiphragma heterophyllum,腰只花
nvdimp,丹大野生動物重要棲息環境,2003,Randia cochinchinensis,茜草樹
nvdimp,丹大野生動物重要棲息環境,2003,Senecio scandens,蔓黃菀
nvdimp,丹大野生動物重要棲息環境,2003,Ageratum conyzoides,藿香薊
nvdimp,丹大野生動物重要棲息環境,2003,Rubus croceacanthus,虎婆刺
nvdimp,丹大野生動物重要棲息環境,2003,Gymnopetalum chinense,裸瓣瓜
nvdimp,丹大野生動物重要棲息環境,2003,Salix fulvopubescens,褐毛柳
nvdimp,丹大野生動物重要棲息環境,2003,Rhododendron leptosanthum,西施花
nvdimp,丹大野生動物重要棲息環境,2003,Passiflora edulis,西番蓮
nvdimp,丹大野生動物重要棲息環境,2003,Oxalis corniculata,酢漿草
nvdimp,丹大野生動物重要棲息環境,2003,Urena lobata,野棉花
nvdimp,丹大野生動物重要棲息環境,2003,Conyza sumatrensis,野茼蒿
